"S","ID","Rank1","real","Rank2"
-6.3123264,"PV-005617191513",2664,"not active",
-6.3123164,"PV-007032634653",2665,"not active",
-6.3122787,"PV-007559358817",2666,"not active",
-6.3122215,"PV-007798139025",2667,"not active",
-6.3121514,"PV-008819550210",2668,"not active",
-6.3119378,"PV-003151647462",2669,"not active",
-6.3119307,"PV-007350691972",2670,"not active",
-6.3119268,"PV-001516759313",2671,"not active",
-6.3116837,"PV-003715148510",2672,"not active",
-6.3114829,"PV-008804161083",2673,"not active",
-6.311461,"PV-006546121467",2674,"not active",
-6.3113914,"PV-000510439638",2675,"not active",
-6.3113751,"PV-006609017635",2676,"not active",
-6.3111644,"PV-007446388970",2677,"not active",
-6.3108592,"PV-009324053049",2680,"not active",
-6.3108501,"PV-000569257748",2681,"not active",289
-6.3107972,"PV-005724063143",2682,"not active",
-6.3104825,"PV-009411332302",2684,"not active",426
-6.3103356,"PV-003882505756",2685,"not active",
-6.3103137,"PV-007725463820",2686,"not active",
-6.3099694,"PV-003981636343",2688,"not active",
-6.3099475,"PV-004988165497",2689,"not active",
-6.3099413,"PV-009282060563",2690,"not active",
-6.3099303,"PV-009714928632",2691,"not active",
-6.3098984,"PV-009146988603",2692,"not active",
-6.3096032,"PV-004930449778",2693,"not active",1852
-6.3094826,"PV-000569216835",2694,"not active",
-6.3092074,"PV-008529448633",2696,"not active",531
-6.3091383,"PV-005209715720",2697,"not active",1946
-6.3091187,"PV-009586770255",2698,"not active",
-6.3089261,"PV-009045151977",2699,"not active",
-6.3089032,"PV-004047690787",2700,"not active",
-6.3088365,"PV-009517626597",2701,"not active",
-6.3087068,"PV-005282223802",2702,"not active",
-6.3086987,"PV-005467948183",2703,"not active",
-6.308496,"PV-003718822307",2704,"not active",368
-6.3084702,"PV-009931539501",2705,"not active",
-6.3084249,"PV-009559748969",2706,"not active",
-6.3083768,"PV-009446612459",2707,"not active",
-6.3083038,"PV-009028041525",2708,"not active",
-6.3082056,"PV-005404095174",2710,"not active",1196
-6.3081226,"PV-009839588992",2711,"not active",
-6.3080263,"PV-008371497998",2712,"not active",
-6.3079896,"PV-009843725871",2713,"not active",
-6.3079147,"PV-005561054552",2714,"not active",
-6.3076463,"PV-003442484315",2715,"not active",
-6.3074074,"PV-005185336388",2716,"not active",
-6.3073397,"PV-009988554619",2717,"not active",
-6.3069663,"PV-003520805608",2718,"not active",
-6.3068275,"PV-005603599545",2719,"not active",976
-6.3068218,"PV-002699494764",2720,"not active",
-6.3066869,"PV-008965324585",2721,"not active",
