"ID","S","Rank","real"
"Z1635290388",-6.2732773,3092,"not active"
"Z1098245770",-6.2731638,3094,"not active"
"Z2994876541",-6.272891,3096,"not active"
"Z5177427100",-6.2723508,3102,"not active"
"Z6734678602",-6.2717366,3109,"not active"
"Z1587712457",-6.2717261,3110,"not active"
"Z3599354737",-6.2716756,3111,"not active"
"Z3606932758",-6.271028,3118,"not active"
"Z3318771317",-6.2707667,3122,"not active"
"Z5051798748",-6.2704535,3129,"not active"
"Z3777919051",-6.2696385,3143,"not active"
"Z3142358482",-6.2695384,3145,"not active"
"Z1302568624",-6.2685461,3158,"not active"
"Z4200344494",-6.2684464,3159,"not active"
"Z5887319196",-6.2679524,3166,"not active"
"Z2600910867",-6.2676816,3171,"not active"
"Z4263592979",-6.267046,3184,"not active"
"Z4576112964",-6.267014,3185,"not active"
"Z7588996842",-6.2664909,3189,"not active"
"Z5497286491",-6.2662549,3190,"not active"
"Z7720787232",-6.2658362,3198,"not active"
"Z5129330741",-6.2654095,3201,"not active"
"Z957014424",-6.2644682,3217,"not active"
"Z4248338649",-6.2640533,3221,"not active"
"Z4859775712",-6.2632017,3236,"not active"
"Z1524964882",-6.2629852,3239,"not active"
"Z4876158126",-6.2628522,3244,"not active"
"Z1486537946",-6.2622933,3251,"not active"
"Z4299027200",-6.2615948,3261,"not active"
"Z1906017613",-6.2599974,3279,"not active"
"Z3697571814",-6.2599359,3280,"not active"
"Z5391476935",-6.2595797,3284,"not active"
"Z5357347333",-6.2591977,3287,"not active"
"Z5451812099",-6.2588615,3291,"not active"
"Z6455665116",-6.2577987,3303,"not active"
"Z1955114556",-6.2574129,3309,"not active"
"Z1737369286",-6.2570434,3310,"not active"
"Z5377076216",-6.2553649,3322,"not active"
"Z2014141978",-6.2553306,3323,"not active"
"Z1023929104",-6.2549524,3327,"not active"
"Z4135309164",-6.2545552,3333,"not active"
"Z757799590",-6.2543454,3335,"not active"
"Z6198117823",-6.254138,3338,"not active"
"Z1360051515",-6.2534227,3344,"not active"
"Z3386216002",-6.2533579,3346,"not active"
"Z2782723215",-6.253253,3347,"not active"
"Z7600781155",-6.252265,3353,"not active"
"Z4503873658",-6.251719,3356,"not active"
"Z1352595695",-6.2494683,3384,"not active"
